Goal.Id,Pathway,Pathway.Id,Variable
Poultry,Improve farmer access to training on poultry production and marketing through government/NGO digital extension services,1,mortality_rt_chickens
Poultry,Improve farmer access to training on poultry production and marketing through government/NGO digital extension services,1,vax_pct_chickens
Poultry,Improve farmer access to training on poultry production and marketing through government/NGO digital extension services,1,mortality_rt_chickens
Poultry,Improve farmer access to training on poultry production and marketing through government/NGO digital extension services,1,vax_pct_chickens
Poultry,Improve the production and productivity of existing local/indigenous breeds,2,mortality_rt_chickens
Poultry,Improve the production and productivity of existing local/indigenous breeds,2,yield_Chickens
Poultry,Improve the production and productivity of existing local/indigenous breeds,2,sold_Chickens
Poultry,Improve the production and productivity of existing local/indigenous breeds,2,net_growth_Chickens
Poultry,Incentivize poultry production with government-backed guaranteed prices and government-enforced price floors for poultry (by weight and quality),3,sale_ppkg_chickens
Poultry,Incentivize poultry production with government-backed guaranteed prices and government-enforced price floors for poultry (by weight and quality),3,bought_received_Chickens
Poultry,Incentivize poultry production with government-backed guaranteed prices and government-enforced price floors for poultry (by weight and quality),3,num_Chickens
Poultry,Incentivize poultry production with government-backed guaranteed prices and government-enforced price floors for poultry (by weight and quality),3,sold_Chickens
Poultry,Incentivize poultry production with government-backed guaranteed prices and government-enforced price floors for poultry (by weight and quality),3,for_sale_live_Chickens
Poultry,Incentivize poultry production with government-backed guaranteed prices and government-enforced price floors for poultry (by weight and quality),3,net_growth_pct_Chickens
Poultry,"Incentivize poultry production with government-subsidized feed, chicks, and medicine",5,mortality_rt_chickens
Poultry,"Incentivize poultry production with government-subsidized feed, chicks, and medicine",5,feed_Chickens
Poultry,"Incentivize poultry production with government-subsidized feed, chicks, and medicine",5,trt_int_parasite_Chickens
Poultry,"Incentivize poultry production with government-subsidized feed, chicks, and medicine",5,trt_ext_parasite_Chickens
Poultry,"Incentivize poultry production with government-subsidized feed, chicks, and medicine",5,trt_vax_spending_Chickens
Poultry,"Incentivize poultry production with government-subsidized feed, chicks, and medicine",5,cur_trt_chickens
Poultry,"Incentivize poultry production with government-subsidized feed, chicks, and medicine",5,cur_trt_spending_Chickens
Poultry,"Incentivize poultry production with government-subsidized feed, chicks, and medicine",5,vax_pct_chickens
Livestock,Improve farmer access to training on cattle production (best feeding practices and disease prevention) through government/NGO extension services,7,qty_rice_harvested
Livestock,Improve farmer access to training on cattle production (best feeding practices and disease prevention) through government/NGO extension services,7,area_rice_harvested
Livestock,Improve farmer access to training on cattle production (best feeding practices and disease prevention) through government/NGO extension services,7,feed_cattle
Livestock,Improve farmer access to training on cattle production (best feeding practices and disease prevention) through government/NGO extension services,7,mortality_rt_cattle
Livestock,Improve farmer access to training on cattle production (best feeding practices and disease prevention) through government/NGO extension services,7,vax_pct_cattle
Livestock,Improve farmer access to training on cattle production (best feeding practices and disease prevention) through government/NGO extension services,7,provision_feed_cattle
Livestock,Improve farmer access to training on cattle production (best feeding practices and disease prevention) through government/NGO extension services,7,trt_int_parasite_Cattle
Livestock,Improve farmer access to training on cattle production (best feeding practices and disease prevention) through government/NGO extension services,7,trt_ext_parasite_Cattle
Livestock,Improve farmer access to training on cattle production (best feeding practices and disease prevention) through government/NGO extension services,7,trt_vax_spending_Cattle
Livestock,Improve farmer access to training on cattle production (best feeding practices and disease prevention) through government/NGO extension services,7,cur_trt_Cattle
Livestock,Improve farmer access to training on cattle production (best feeding practices and disease prevention) through government/NGO extension services,7,cur_trt_spending_Cattle
Livestock,Improve cattle productivity and reduce farmer labor on livestock feeding through government-subsidized programs which introduce forage species on smallholder land,8,feed_cattle
Livestock,Improve cattle productivity and reduce farmer labor on livestock feeding through government-subsidized programs which introduce forage species on smallholder land,8,productivity_cattle
Livestock,Improve cattle productivity and reduce farmer labor on livestock feeding through government-subsidized programs which introduce forage species on smallholder land,8,num_cattle
Livestock,Improve cattle productivity and reduce farmer labor on livestock feeding through government-subsidized programs which introduce forage species on smallholder land,8,feed_cattle
Livestock,Improve cattle productivity and reduce farmer labor on livestock feeding through government-subsidized programs which introduce forage species on smallholder land,8,productivity_cattle
Livestock,Improve cattle productivity and reduce farmer labor on livestock feeding through government-subsidized programs which introduce forage species on smallholder land,8,slghtr_value_Cattle
Livestock,Improve cattle productivity and reduce farmer labor on livestock feeding through government-subsidized programs which introduce forage species on smallholder land,8,meat_unit_value_Cattle
Livestock,Improve cattle productivity and reduce farmer labor on livestock feeding through government-subsidized programs which introduce forage species on smallholder land,8,prod_value_Cattle
Livestock,Improve cattle productivity and reduce farmer labor on livestock feeding through government-subsidized programs which introduce forage species on smallholder land,8,provision_feed_cattle
Livestock,Improve cattle productivity and reduce farmer labor on livestock feeding through government-subsidized programs which introduce forage species on smallholder land,8,sale_revenue_Cattle
